product_url,title,media,height_cm,width_cm,price_gbp
https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,P10 by Olly Fathers,acrylic paint on sprayed board,30.0,30.0,240.0
https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,Amazons by Lucy Baker,"oil paint,  spray paint & gold leaf on board",110.0,130.0,1600.0
https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,The Hurricane by Lucy Baker,"oil paint,  spray paint & gold leaf on board",110.0,130.0,1600.0
https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,Overland I by Jane Ward,"archival digital print on stretched canvas,  finished with gold leaf",90.0,120.0,1400.0
https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,Candy Flop by Olly Fathers,sprayed board,127.0,53.0,3400.0
https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,Crossroads by Olly Fathers,sprayed board,120.0,120.0,4000.0
https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,Tommy by Olly Fathers,"spraypaint,  board,  card,  digital print collage",100.0,70.0,1940.0
https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,Constructed Veneer IV by Olly Fathers,"various wood veneers,  various woods,  board",38.0,32.0,1100.0
https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers,Constructed Veneer V by Olly Fathers,"various wood veneers,  various woods,  board",30.0,33.0,940.0
https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers-1,Constructed Veneer VI by Olly Fathers,"various wood veneers,  various woods,  board",26.0,24.0,940.0
https://www.bearspace.co.uk/product-page/constructed-veneer-vii-by-olly-fathers,Constructed Veneer VII by Olly Fathers,"various wood veneers,  various woods,  board",34.0,25.0,940.0
https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,Collage 3 by Olly Fathers,"spraypaint,  vinyl,  card,  digital print collage",29.7,21.0,175.0
https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,Collage 2 by Olly Fathers,"spraypaint,  vinyl,  card,  digital print collage",29.7,21.0,175.0
https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,Collage 1 by Olly Fathers,"spraypaint,  vinyl,  card,  digital print collage",29.7,21.0,175.0
https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,C6 by Olly Fathers,acrylic paint on sprayed board,30.0,30.0,240.0
https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,C13 by Olly Fathers,acrylic paint on sprayed board,30.0,30.0,240.0
https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,Portal 7 by Jane Ward,digital print under acrylic with subframe,,,490.0
https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,Portal 8 by Jane Ward,digital print under acrylic with subframe,,,490.0
https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,Portal 9 by Jane Ward,digital print under acrylic with subframe,,,490.0
https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,As The Tide Turned by Dominic Bradnum,"oil with charcoal,  watercolour and sand on canvas",100.0,80.0,1400.0
https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,You Took My Breath Away by Dominic Bradnum,"oil on canvas with charcoal,  watercolour and pencil",40.0,50.0,640.0
https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,Balancing Acts I by Elise Wootten,inkjet print (hahnemuhle ultra-smooth),40.7,50.8,400.0
https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,Balancing Acts II by Elise Wootten,inkjet print (hahnemuhle ultra-smooth),40.7,50.8,400.0
https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,Balancing Acts III by Elise Wootten,inkjet print (hahnemuhle ultra-smooth),40.7,50.8,400.0
https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,Balancing Acts IV by Elise Wootten,inkjet print (hahnemuhle ultra-smooth),40.7,50.8,400.0
https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,,,,,
https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,Somewhat Confusing I by Elise Wootten,"aluminium,  inkjet vinyl print",74.0,88.0,640.0
https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,Somewhat Confusing II by Elise Wootten,"aluminium,  inkjet vinyl print",75.0,89.0,640.0
https://www.bearspace.co.uk/product-page/somewhat-confusing-iii-by-elise-wootten,Somewhat Confusing III by Elise Wootten,"aluminium,  inkjet vinyl print",75.0,88.0,640.0
https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,All Recognisable Entities by Elise Wootten,"beech,  mdf,  acrylic paint,  vinyl",40.9,50.2,1200.0
https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,To The Zenith's Height by Jane Ward,archival digital print on canvas with dissolved canvas,90.0,120.0,1400.0
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,The Ephemeral Isles by Jane Ward,archival digital print on canvas with dissolved canvas,90.0,120.0,1400.0
https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,From Steep to Steep by Jane Ward,digital print on aluminium,45.0,60.0,640.0
https://www.bearspace.co.uk/product-page/castle-2-by-jane-ward,Castle 2 by Jane Ward,digital print on aluminium,45.0,60.0,640.0
https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward-1,Unfathomable Deeps by Jane Ward,digital print on aluminium,24.0,30.0,340.0
https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,From Frozen Floods by Jane Ward,digital print on aluminium,24.0,30.0,340.0
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-5a-by-jane-ward,The Ephemeral Isles 5 by Jane Ward,digital print on canvas with dissolved ink,45.0,60.0,490.0
https://www.bearspace.co.uk/product-page/copy-of-meld-5,Meld 5,"13k gold leaf,  copper leaf,  white casting cement,  iron and pigment",17.0,15.0,420.0
https://www.bearspace.co.uk/product-page/portal-1-by-jane-ward,Portal 1 by Jane Ward,digital print under acrylic with subframe,,,320.0
https://www.bearspace.co.uk/product-page/fragmentation-no-46-by-jim-cheatle,FRAGMENTATION No.46 by Jim Cheatle,"resin,  pigments,  indian ink,  watercolour paper,  inkjet prints,  mdf",70.0,54.5,1200.0
https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,FRAGMENTATION No.44 by Jim Cheatle,"resin,  pigments,  inkjet prints,  canvas,  mdf",70.0,54.5,1200.0
https://www.bearspace.co.uk/product-page/fragmentation-no-45-by-jim-cheatle,FRAGMENTATION No.45 by Jim Cheatle,"resin,  pigments,  inkjet prints,  acrylic,  paper,  mdf",70.0,54.5,1200.0
https://www.bearspace.co.uk/product-page/fragmentation-no-33-by-jim-cheatle,FRAGMENTATION No.33 by Jim Cheatle,"resin,  pigments,  canvas,  paper,  inkjet prints,  mdf",70.0,54.5,1200.0
https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,FRAGMENTATION No.17 by Jim Cheatle,"resin,  pigments,  canvas,  paper,  inkjet prints,  mdf",70.0,54.5,1200.0
https://www.bearspace.co.uk/product-page/fragmentation-no-10-by-jim-cheatle,FRAGMENTATION No.10 by Jim Cheatle,"resin,  pigments,  paper,  indian ink,  inkjet prints,  mdf",70.0,54.5,1200.0
https://www.bearspace.co.uk/product-page/fragstudy-1-by-jim-cheatle,Fragstudy 1 by Jim Cheatle,"resin,  pigments,  inkjet prints,  mdf",30.5,23.0,490.0
https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,Fragstudy 2 by Jim Cheatle,"resin,  pigments,  inkjet prints,  mdf",30.5,23.0,490.0
